blackscholes,17,0.99
ray,17,0.10
quicksort,7,0.29
quicksort,17,0.24
matmult,7,0.63
blackscholes,7,1.01
ray,7,0.09
array,7,0.89
n_body,17,0.25
sieve,7,0.16
n_body,7,0.17
tak,17,0.73
fft,17,0.48
array,17,0.90
tak,7,0.73
fft,7,0.54
matmult,17,0.65
sieve,17,0.19
